                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39202,                 2.1749,                0.87868,                 0.6982,                0.91918,                0.89215,                0.88056,                0.21489,                 1.7546,                0.79954,             0.00010002,             0.00010002,             0.00010002
                      2,                0.32072,                0.59391,                 0.8313,                 0.3669,                    0.9,                0.56745,                0.56208,                0.23542,                 10.625,                0.79945,             0.00020813,             0.00020813,             0.00020813
                      3,                0.34288,                0.44949,                0.82747,                0.36103,                    0.9,                0.51272,                0.51205,                0.27672,                 9.3027,                0.80956,             0.00030699,             0.00030699,             0.00030699
                      4,                0.33336,                0.39249,                0.82582,                0.48422,                    0.9,                0.48973,                0.46877,                0.27823,                 12.624,                0.80815,             0.00039662,             0.00039662,             0.00039662
                      5,                0.34058,                0.36871,                0.82999,                0.47993,                    0.8,                0.50428,                0.47696,                0.34659,                 8.2046,                0.81613,               0.000477,               0.000477,               0.000477
                      6,                0.34413,                0.35139,                0.82257,                0.67823,                   0.85,                0.80652,                0.79172,                0.27138,                 1.7768,                0.80354,             0.00054814,             0.00054814,             0.00054814
                      7,                0.37616,                0.41298,                0.82499,                0.58639,                0.84367,                0.60155,                0.57171,                0.32605,                 2.7527,                0.81852,             0.00061004,             0.00061004,             0.00061004
                      8,                0.35243,                0.35117,                0.83416,                0.61718,                   0.85,                0.62512,                0.57909,                0.31615,                 2.1217,                0.80897,              0.0006627,              0.0006627,              0.0006627
                      9,                0.32376,                0.32637,                0.84016,                0.78352,                    0.8,                0.87456,                0.86738,                0.25447,                0.93187,                 0.7969,             0.00070611,             0.00070611,             0.00070611
                     10,                0.33133,                0.32198,                0.82763,                0.86648,                0.93044,                0.91576,                0.88092,                0.29299,                0.56362,                0.80259,             0.00074029,             0.00074029,             0.00074029
                     11,                0.35202,                0.33036,                0.83857,                0.89292,                    0.9,                0.89603,                0.89073,                0.24648,                0.64467,                0.79725,             0.00076522,             0.00076522,             0.00076522
                     12,                0.32359,                0.30517,                0.82743,                0.85321,                    0.9,                0.84507,                0.84469,                0.24198,                0.72609,                0.80083,             0.00078091,             0.00078091,             0.00078091
                     13,                 0.3333,                0.29021,                0.81404,                 0.5624,                    0.9,                0.55036,                0.53928,                0.24415,                  1.652,                0.80325,             0.00078736,             0.00078736,             0.00078736
                     14,                 0.3417,                0.29671,                0.82682,                0.89542,                    0.9,                0.84201,                 0.8129,                0.28036,                0.65762,                 0.8097,             0.00078456,             0.00078456,             0.00078456
                     15,                0.31623,                0.27836,                0.80692,                0.89358,                    0.9,                0.89096,                0.87289,                0.25872,                0.54249,                 0.7998,             0.00074282,             0.00074282,             0.00074282
                     16,                0.28166,                 0.3326,                0.78336,                0.89317,                    0.9,                0.85205,                 0.8454,                 0.2792,                0.57295,                0.80009,             0.00074282,             0.00074282,             0.00074282
                     17,                0.28481,                0.27308,                0.78158,                 0.8515,                    0.9,                0.87013,                0.85419,                0.25663,                0.66393,                0.79723,              0.0006768,              0.0006768,              0.0006768
                     18,                0.28121,                0.27486,                0.77513,                0.89472,                    0.9,                0.84012,                0.80059,                 0.2779,                0.69132,                0.80248,             0.00061079,             0.00061079,             0.00061079
                     19,                0.25991,                 0.2533,                0.79728,                 0.8956,                    0.9,                0.88071,                0.88071,                0.22699,                0.70069,                0.79841,             0.00054478,             0.00054478,             0.00054478
                     20,                0.24301,                0.23252,                0.79427,                0.89537,                    0.9,                0.88336,                0.87746,                0.24401,                0.77397,                0.79723,             0.00047876,             0.00047876,             0.00047876
                     21,                0.23547,                0.21844,                0.79389,                0.89577,                    0.9,                0.89384,                0.87971,                0.23728,                0.73842,                 0.7959,             0.00041275,             0.00041275,             0.00041275
                     22,                 0.2415,                0.22308,                0.77053,                0.89523,                    0.9,                0.85826,                0.84345,                0.23624,                0.68643,                0.79626,             0.00034674,             0.00034674,             0.00034674
                     23,                0.23126,                0.21851,                0.79353,                0.89552,                    0.9,                0.85856,                0.84819,                0.21601,                0.68748,                0.79518,             0.00028072,             0.00028072,             0.00028072
                     24,                0.21762,                0.19871,                0.77334,                0.89561,                    0.9,                0.84994,                0.84101,                0.22325,                0.66593,                0.79572,             0.00021471,             0.00021471,             0.00021471
                     25,                0.22609,                0.19246,                 0.7797,                0.89555,                    0.9,                0.84994,                0.83398,                0.21701,                0.64132,                 0.7949,              0.0001487,              0.0001487,              0.0001487
